TemplateID,TemplateName,TemplateSynonyms,TemplateSource,TemplateType,TemplateSequence,TemplateStructure,TemplateComments
11,Aflatoxin B1,"AFB1
PDB component identifier: AFT",Unknown,Organic molecules or materials,"CID: 14403
SMILES: O=C5C=4C(=O)Oc3c1c(OC2O\C=C/C12)cc(OC)c3C=4CC5",2XI4,Aflatoxin B1 is one of naturally occurring mycotoxins that are produced by many species of Aspergillus. It is hepatotoxic and among the most carcinogenic substances known.
12,Arginine kinase,"Allergen Per a 9
EC=2.7.3.3",Periplaneta americana (American cockroach):6978,Protein>Enzyme,A1KY39,NULL,"The arginine kinase of American cockroach is a major cockroach allergen. In a report, It reacted to IgE in the sera of all of the cockroach-allergic Thai patients by immunoblotting, implying its high allergenicity. "
13,Cholera enterotoxin subunit B,"Cholera enterotoxin B chain
Cholera enterotoxin gamma chain
Choleragenoid",Vibrio cholerae:666,Protein>Others,P01556,"1CHP, 1CHQ,1CT1, 1FGB, 1G8Z, 1JR0, 1MD2,1RCV, 1RD9, 1RDP, 1RF2, 1S5B, 1S5C, 1S5D, 1S5E, 1S5F, 1XTC, 2CHB, 3CHB, 3EFX","Cholera toxin (CTX) is a protein complex secreted by the bacterium Vibrio cholerae, which is responsible for the massive, watery diarrhea characteristic of cholera infection. The cholera toxin is a complex made up of a single copy of the A subunit (enzymatic) and five copies of the B subunit (receptor binding)."
14,Capsular polysaccharide Vi antigen (ViCPS),Vi polysaccharide antigen,Salmonella typhi:90370,Organic molecules or materials,NULL,NULL,The salmonella Vi Capsular polysaccharide is a linear homopolymer of α[1-->4]-O-acetyl-N-acetyl-galactosaminuronic acid. It is an important virulence factor. The Vi capsule shields the bacteria against phagocytosis by its surface negative charge properties and by covering cell-envelope components sensitive to serum opsonins.
15,Interleukin-4,"IL-4
B-cell stimulatory factor 1, BSF-1
Lymphocyte stimulatory factor 1
IGG1 induction factor
B-cell IgG differentiation factor
B-cell growth factor 1",Mus musculus (Mouse):10090,Protein>Others,P07750,NULL,"Interleukin-4 is a cytokine participating in at least several B-cell activation processes as well as of other cell types, for example, inducing differentiation of naive helper T cells (Th0 cells) to Th2 cells. It induces the expression of class II MHC molecules on resting B-cells. It enhances both secretion and cell surface expression of IgE and IgG1. It is closely related and has functions similar to Interleukin-13."
16,Vitronectin,"S-protein
Serum-spreading factor
VTN, V75",Homo sapiens (Human):9606,Protein>Others,P04004,"1OC0, 1S4G, 1SSU, 2JQ8, 3BT1, 3BT2",Vitronectin is a cell adhesion and spreading factor found in serum and tissues. Vitronectin interact with glycosaminoglycans and proteoglycans. It is recognized by certain members of the integrin family and serves as a cell-to-substrate adhesion molecule. It is also inhibitor of the membrane-damaging effect of the terminal cytolytic complement pathway.
17,Cation-independent mannose-6-phosphate receptor,"CI Man-6-P receptor, CI-MPR, M6PR
Insulin-like growth factor 2 receptor
Insulin-like growth factor II receptor, IGF-II receptor
M6P/IGF2 receptor, M6P/IGF2R
300 kDa mannose 6-phosphate receptor, MPR 300
CD_antigen=CD222",Homo sapiens (Human):9606,Protein>Receptor,P11717,"1E6F, 1GP0, 1GP3, 1GQB, 1JWG, 1LF8, 2CNJ, 2L29, 2L2A, 2V5N, 2V5O, 2V5P","Cation-independent mannose-6-phosphate receptor transports phosphorylated lysosomal enzymes from the Golgi complex and the cell surface to lysosomes. Lysosomal enzymes bearing phosphomannosyl residues bind specifically to mannose-6-phosphate receptors in the Golgi apparatus and the resulting receptor-ligand complex is transported to an acidic prelyosomal compartment where the low pH mediates the dissociation of the complex. This receptor also binds IGF2.  By binding DPP4, it acts as a positive regulator of T-cell coactivation as well."
18,BAG family molecular chaperone regulator 1,"BAG-1
Bcl-2-associated athanogene 1",Homo sapiens (Human):9606,Protein>Others,Q99933,"1HX1, 1WXV, 3FZF, 3FZH, 3FZK, 3FZL, 3FZM, 3LDQ, 3M3Z",NULL
19,Epidermal growth factor receptor,"EGFR, HER1
Receptor tyrosine-protein kinase ErbB-1
Proto-oncogene c-ErbB-1
EC=2.7.10.1",Homo sapiens (Human):9606,Protein>Receptor,P00533,"1IVO, 1M14, 1M17, 1MOX, 1NQL, 1XKK, 1YY9, 1Z9I, 2EB2, 2EB3, 2GS2, 2GS6, 2GS7, 2ITN, 2ITO, 2ITP, 2ITQ, 2ITT, 2ITU, 2ITV, 2ITW, 2ITX, 2ITY, 2ITZ, 2J5E, 2J5F, 2J6M, 2JIT, 2JIU, 2JIV, 2KS1, 2M20, 2RF9, 2RFD, 2RFE, 2RGP, 3B2U, 3B2V, 3BEL, 3BUO, 3C09, 3G5V, 3G5Y, 3GOP, 3GT8, 3IKA, 3LZB, 3NJP, 3OB2, 3OP0, 3P0Y, 3PFV, 3POZ, 3QWQ, 3UG1, 3UG2, 3VJN, 3VJO, 3VRP, 3VRR, 3W2O, 3W2P, 3W2Q, 3W2R, 3W2S, 3W32, 3W33, 4G5J, 4G5P, 4HJO, 4I1Z, 4I20, 4I21, 4I22, 4I23, 4I24","The epidermal growth factor receptor is the cell-surface receptor for EGF, but also for other members of the EGF family, such as TGF-alpha, BTC/betacellulin, AREGAREGB/amphiregulin, HBEGF, GP30 and vaccinia virus growth factor. Mutations affecting EGFR expression or activity could result in cancer."
20,Receptor tyrosine-protein kinase erbB-2,"p185erbB2
Proto-oncogene c-ErbB-2
Proto-oncogene Neu
Tyrosine kinase-type cell surface receptor HER2
Metastatic lymph node gene 19 protein, MLN 19
CD_antigen=CD340
EC=2.7.10.1",Homo sapiens (Human):9606,Protein>Receptor,P04626,"1MFG, 1MFL, 1MW4, 1N8Z, 1QR1, 1S78, 2A91, 2JWA, 2KS1, 2L4K, 3BE1, 3H3B, 3MZW, 3N85, 3PP0, 3RCD","HER2 is a receptor tyrosine kinase embedded in the cell membrane. It is involved in the signal transduction pathways leading to cell growth and differentiation. In some cancers, notably some breast cancers, HER2 is over-expressed, which causes breast cells to reproduce uncontrollably."
21,"Outer membrane protein 40, Omp40",PG33,Porphyromonas gingivalis (Bacteroides gingivalis):242619,Protein>Others,Q9S3R8,NULL,NULL
22,von Willebrand factor (vWF),"von Willebrand antigen 2
von Willebrand antigen II",Homo sapiens (Human):9606,Protein>Others,P04275,"1AO3, 1ATZ, 1AUQ, 1FE8, 1FNS, 1IJB, 1IJK, 1M10, 1OAK, 1SQ0, 1U0N, 1UEX, 2ADF, 2MHP, 2MHQ, 3GXB, 3HXO, 3HXQ, 3PPV, 3PPW, 3PPX, 3PPY, 3ZQK, 4C29, 4C2A, 4C2B, 4DMU, 4NT5","The von Willebrand factor is important in the maintenance of hemostasis. It promotes adhesion of platelets to the sites of vascular injury by forming a molecular bridge between sub-endothelial collagen matrix and platelet-surface receptor complex GPIb-IX-V. It also acts as a chaperone for coagulation factor VIII, delivering it to the site of injury, stabilizing its heterodimeric structure and protecting it from premature clearance from plasma."
23,Coagulation factor VIII,"Procoagulant component
Antihemophilic factor, AHF",Homo sapiens (Human):9606,Protein>Others,P00451,"1CFG, 1D7P, 1FAC, 1IQD, 2R7E, 3CDZ, 3HNB,	3HNY,	3HOB,	4BDV","Factor VIII is an essential blood clotting factor. Along with calcium and phospholipid, factor VIII acts as a cofactor for factor IXa when it converts factor X to the activated form, factor Xa. It also interacts with von Willebrand factor (vWF). vWF binding is essential for the stabilization of factor VIII in circulation. Defects in factor VIII results in hemophilia A, a well known recessive X-linked coagulation disorder."
24,Spike glycoprotein,"S glycoprotein
Peplomer protein
E2",Human SARS coronavirus (SARS-CoV) (Severe acute respiratory syndrome coronavirus):227859,Protein>Others,P59594,"1WNC, 1WYY, 1ZV7, 1ZV8, 1ZVB, 2AJF, 2BEQ, 2BEZ, 2DD8, 2FXP, 2GHV, 2GHW, 3BGF, 3D0G, 3D0H, 3D0I, 3SCI, 3SCJ, 3SCK, 3SCL","Spike glycoprotein cleaves into two proteins: S1 and S2. Spike protein S1 attaches the virion to the cell membrane by interacting with human ACE2 and CLEC4M/DC-SIGNR, initiating the infection."
25,Surface protein gp120 (SU),"Glycoprotein 120, gp120",Human immunodeficiency virus type 1 group M subtype B (isolate YU-2) (HIV-1):362651,Protein>Others,P35961 [32-498],"1G9N, 1YYL, 1YYM, 2I5Y, 2I60, 2NY7, 2QAD, 3HI1, 4DVR","The surface protein gp120 (SU) attaches the virus to the host lymphoid cell by binding to the primary receptor CD4. This interaction induces a structural rearrangement creating a high affinity binding site for a chemokine coreceptor like CXCR4 and/or CCR5. This peculiar 2 stage receptor-interaction strategy allows gp120 to maintain the highly conserved coreceptor-binding site in a cryptic conformation, protected from neutralizing antibodies. Surface protein gp120 (SU) may target the virus to gut-associated lymphoid tissue (GALT) by binding host ITGA4/ITGB7 (alpha-4/beta-7 integrins), a complex that mediates T-cell migration to the GALT. The surface protein gp120 is also a ligand for CD209/DC-SIGN and CLEC4M/DC-SIGNR, which are respectively found on dendritic cells (DCs), and on endothelial cells of liver sinusoids and lymph node sinuses. These interactions allow capture of viral particles at mucosal surfaces by these cells and subsequent transmission to permissive cells."
26,"Neutrophil cytosol factor 1, NCF-1","Neutrophil NADPH oxidase factor 1
47 kDa neutrophil oxidase factor
p47-phox
NCF-47K
47 kDa autosomal chronic granulomatous disease protein
Nox-organizing protein 2
Nox organizer 2
SH3 and PX domain-containing protein 1A",Homo sapiens (Human):9606,Protein>Others,P14598,"1GD5, 1K4U, 1KQ6, 1NG2, 1O7K, 1OV3, 1UEC, 1W70, 1WLP",NULL
27,Cytochrome b-245 heavy chain,"p22 phagocyte B-cytochrome
Neutrophil cytochrome b 91 kDa polypeptide
Heme-binding membrane glycoprotein gp91phox
CGD91-phox
gp91-phox
gp91-1
Cytochrome b(558) subunit beta, Cytochrome b558 subunit beta
Superoxide-generating NADPH oxidase heavy chain subunit
NADPH oxidase 2",Homo sapiens (Human):9606,Protein>Others,P04839,3A1F,NULL
28,Cytochrome b-245 light chain,"p22 phagocyte B-cytochrome
Neutrophil cytochrome b 22 kDa
polypeptide
p22-phox
Cytochrome b(558) alpha chain
Cytochrome b558 subunit alpha
Superoxide-generating NADPH oxidase light chain subunit",Homo sapiens (Human):9606,Protein>Others,P13498,1WLP,NULL
29,Sperm,NULL,Homo sapiens (Human):9606,Cell,NULL,NULL,NULL
30,Fibrinogen alpha chain,Fibrinopeptide A,Rattus norvegicus (Rat):10116,Protein>Others,P06399,NULL,NULL
31,Envelope glycoprotein gp160,NULL,Simian-Human immunodeficiency virus:57667,Protein>Others,NULL,NULL,NULL
32,"Melanotropin alpha, Alpha-MSH",NULL,Homo sapiens (Human):9606,Protein>Others,P01189 [138-150],NULL,NULL
33,Iron(3+)-hydroxamate-binding protein fhuD,"Iron(III)-hydroxamate-binding protein fhuD
Ferrichrome-binding periplasmic protein
Ferric hydroxamate uptake protein D",Escherichia coli (strain K12):83333,Protein>Others,P07822,"1EFD, 1ESZ, 1K2V, 1K7S",NULL
34,Protein tonB,NULL,Escherichia coli (strain K12):83333,Protein>Others,P02929,"1IHR, 1QXX, 1U07, 1XX3, 2GRX, 2GSK",NULL
35,E(rns) glycoprotein,gp44/48,Classical swine fever virus (strain Alfort) (CSFV) (Hog cholera virus):11097,Protein>Others,P19712 [268-494],NULL,NULL
36,"High molecular weight melanoma-mssociated antigen, HMW-MAA",NULL,Homo sapiens (Human):9606,Protein>Others,NULL,NULL,The high molecular weight melanoma-associated antigen (HMW-MAA) is highly expressed in advanced primary and metastatic melanoma.
37,Signal transduction protein TRAP,Target of RNAIII-activating protein,Staphylococcus aureus (strain NCTC 8325):93061,Protein>Others,Q2G2F3,4AE5,NULL
38,PSA-α2M complexes,"PSA alternative name(s):
Prostate-specific antigen
Kallikrein-3
Semenogelase
Gamma-seminoprotein, Seminin
P-30 antigen

α2M alternative name(s):
Alpha-2-macroglobulin, Alpha-2-M
C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5",Homo sapiens (Human):9606,Protein>Others,"P07288, P01023","1BV8, 2P9R, 4ACQ, 2ZCH, 2ZCK, 2ZCL, 3QUM",NULL
39,"DNA repair protein RAD51 homolog 3, R51H3","RAD51-like protein 2
RAD51 homolog C",Homo sapiens (Human):9606,Protein>Others,O43502,NULL,NULL
40,Gastric cancer-associated antigen,NULL,Homo sapiens (Human):9606,Protein>Others,NULL,NULL,NULL
41,Type 8 capsular polysaccharide,Type 8 PS,Streptococcus pneumoniae:1313,Organic molecules or materials,NULL,NULL,NULL
42,Capsid protein,"Protein ORF2, pORF2",Hepatitis E virus genotype 4 (isolate Human/China/T1) (HEV-4) (Hepatitis E virus genotype 4 (isolate Human/China/Ct1)):509627,Protein>Others,Q9IVZ8,3HAG,NULL
43,Hantaan virus,NULL,Homo sapiens (Human):9606,Virus,NULL,NULL,NULL
44,Gibberellin 3-beta-dioxygenase 1,"Gibberellin 3 beta-hydroxylase 1
GA 3-oxidase 1, AtGA3ox1",Arabidopsis thaliana (Mouse-ear cress):3702,Protein>Others,Q39103,NULL,NULL
45,Interferon alpha-2,"IFN-alpha-2
Interferon alpha-A, LeIF A",Homo sapiens (Human):9606,Protein>Others,P01563,"1ITF, 1RH2, 2HYM, 2KZ1, 2LAG, 2LMS, 3S9D, 3SE3","Three polymorphism forms exist: alpha-2a, alpha-2b and alpha-2c.
"
46,Glucokinase,"Hexokinase type IV, HK IV
Hexokinase-4, HK4
Hexokinase-D
EC=2.7.1.2",Homo sapiens (Human):9606,Protein>Enzyme,P35557,"1V4S, 1V4T, 3A0I, 3F9M, 3FGU, 3FR0, 3GOI, 3H1V, 3ID8, 3IDH, 3IMX, 3QIC, 3S41, 3VEV, 3VEY, 3VF6, 4DCH, 4DHY, 4ISE, 4ISF, 4ISG, 4IWV, 4IXC",NULL
47,Telomerase reverse transcriptase,"Telomerase catalytic subunit
HEST2
Telomerase-associated protein 2, TP2",Homo sapiens (Human):9606,Protein>Others,O14746,2BCK,NULL
48,Leukocyte surface antigen CD47,"Integrin-associated protein, IAP
Antigenic surface determinant protein OA3
Protein MER6
CD_antigen=CD47",Homo sapiens (Human):9606,Protein>Others,Q08722,"2JJS, 2JJT, 2VSC",NULL
49,"Fibronectin, FN","Cold-insoluble globulin, CIG",Homo sapiens (Human):9606,Protein>Others,P02751,"1E88, 1E8B, 1FBR, 1FNA, 1FNF, 1FNH, 1J8K, 1O9A, 1OWW, 1Q38, 1QGB, 1QO6, 1TTF, 1TTG, 2CG6, 2CG7, 2CK2, 2CKU, 2EC3, 2FN2, 2FNB, 2GEE, 2H41, 2H45, 2HA1, 2OCF, 2RKY, 2RKZ, 2RL0, 3CAL, 3EJH, 3GXE, 3M7P, 3MQL, 3R8Q, 3T1W, 3ZRZ, 4GH7",NULL
50,Lactotransferrin,"Lactoferrin
Talalactoferrin",Homo sapiens (Human):9606,Protein>Others,P02788,"1B0L, 1BKA, 1CB6, 1DSN, 1EH3, 1FCK, 1H43, 1H44, 1H45, 1HSE, 1L5T, 1LCF, 1LCT, 1LFG, 1LFH, 1LFI, 1LGB, 1N76, 1SQY, 1U62, 1VFD, 1VFE, 1XV4, 1XV7, 1Z6V, 1Z6W, 2BJJ, 2DP4, 2GMC, 2GMD, 2HD4, 2PMS",NULL
51,Parvalbumin beta,NULL,Cyprinus carpio (Common carp):7962,Protein>Others,P02618,"1B8C, 1B8L, 1B8R, 1B9A, 1CDP, 4CPV, 5CPV",NULL
52,Nucleoprotein,"Protein N
Nucleocapsid protein",Nipah virus:121791,Protein>Others,Q9IK92,NULL,NULL
53,L-asparaginase 2,"L-asparaginase II, L-ASNase II
L-asparagine amidohydrolase II
INN=Colaspase
EC=3.5.1.1",Escherichia coli (strain K12):83333,Protein>Enzyme,P00805,"1HO3, 1IHD, 1JAZ, 1JJA, 1NNS, 3ECA, 4ECA",NULL
54,"Neutral polysaccharides, NPS",NULL,Mycobacterium tuberculosis:1773,Organic molecules or materials,NULL,NULL,NPS (neutral polysaccharides) is an M. tuberculosis cell-surface fraction.
55,Glycoprotein G,NULL,Rabies virus (strain ERA) (RABV):11295,Protein>Others,P03524,3NFK,NULL
56,Corticotropin,"Adrenocorticotropic hormone, ACTH",Homo sapiens (Human):9606,Protein>Others,P01189 [138-176],NULL,NULL
57,Integrin beta-3,"Platelet membrane glycoprotein IIIa, GPIIIa
CD_antigen=CD61",Homo sapiens (Human):9606,Protein>Others,P05106,"1JV2, 1KUP, 1KUZ, 1L5G, 1M1X, 1M8O, 1MK7, 1MK9, 1S4X, 1TYE, 1U8C, 2K9J, 2KNC, 2KV9, 2L1C, 2L91, 2LJD, 2LJE, 2LJF, 2Q6W, 2RMZ, 2RN0, 2VC2, 2VDK, 2VDL, 2VDM, 2VDN, 2VDO, 2VDP, 2VDQ, 2VDR, 3FCS, 3FCU, 3IJE, 3NID, 3NIF, 3NIG, 3T3M, 3T3P, 4G1E, 4G1M",NULL
58,Apical membrane antigen-1,NULL,Plasmodium yoelii:5861,Protein>Others,Q26225,NULL,NULL
59,Anti-digoxin antibody 26-10 Fab,NULL,Mus musculus (Mouse):10090,Protein>Others,"GI:349889, GI:349890","1IGI, 1IGJ",NULL
60,Colicin-A,NULL,Citrobacter freundii:546,Protein>Others,P04480,"3IAX, 3QDR",NULL
61,Surface protein gp120 (SU),"Glycoprotein 120, gp120",Human immunodeficiency virus type 1 (isolate HXB2 group M subtype B) (HIV-1):11706,Protein>Others,P04578 [33-511],"1AIK, 1DF4, 1DF5, 1DLB, 1G9M, 1GC1, 1GZL, 1K33, 1K34, 1RZJ, 2CMR, 2NY7, 2PV6, 2XRA, 3DNL, 3DNN, 3DNO, 3IDX, 3IDY, 3TYG, 3VIE, 4JPJ, 4JPK","The surface protein gp120 (SU) attaches the virus to the host lymphoid cell by binding to the primary receptor CD4. This interaction induces a structural rearrangement creating a high affinity binding site for a chemokine coreceptor like CXCR4 and/or CCR5. This peculiar 2 stage receptor-interaction strategy allows gp120 to maintain the highly conserved coreceptor-binding site in a cryptic conformation, protected from neutralizing antibodies. Surface protein gp120 (SU) may target the virus to gut-associated lymphoid tissue (GALT) by binding host ITGA4/ITGB7 (alpha-4/beta-7 integrins), a complex that mediates T-cell migration to the GALT. The surface protein gp120 is also a ligand for CD209/DC-SIGN and CLEC4M/DC-SIGNR, which are respectively found on dendritic cells (DCs), and on endothelial cells of liver sinusoids and lymph node sinuses. These interactions allow capture of viral particles at mucosal surfaces by these cells and subsequent transmission to permissive cells."
62,Capsid protein p24,CA,Human immunodeficiency virus type 1 group M subtype B (isolate HXB2) (HIV-1):11706,Protein>Others,P04585 [133-363],"1A30, 1BV7, 1BV9, 1BVE, 1BVG, 1BWA, 1BWB, 1C0T, 1C0U, 1C1B, 1C1C, 1DMP, 1DTQ, 1DTT, 1E6J, 1EP4, 1ESK, 1EX4, 1EXQ, 1FB7, 1FK9, 1FKO, 1FKP, 1G6L, 1HIV, 1HVH, 1HVR, 1HWR, 1HXB, 1JKH, 1JLA, 1JLB, 1JLC, 1JLE, 1JLF, 1JLG, 1JLQ, 1KLM, 1LV1, 1LW0, 1LW2, 1LWC, 1LWE, 1LWF, 1NCP, 1O1W, 1ODW, 1ODY, 1QBR, 1QBS, 1QBT, 1QBU, 1REV, 1RT1, 1RT2, 1RT3, 1RT4, 1RT5, 1RT6, 1RT7, 1RTD, 1RTH, 1RTI, 1RTJ, 1S1T, 1S1U, 1S1V, 1S1W, 1S1X, 1T05, 1TAM, 1TKT, 1TKX, 1TKZ, 1TL1, 1TL3, 1VRT, 1VRU, 2HND, 2HNY, 2HNZ, 2KOD, 2NPH, 2OPP, 2OPQ, 2OPR, 2OPS, 2RF2, 2RKI, 2WHH, 2WOM, 2WON, 2YNF, 2YNG, 2YNH, 2YNI, 3AO2, 3C6T, 3C6U, 3DI6, 3DLE, 3DLG, 3DM2, 3DMJ, 3DOK, 3DOL, 3DOX, 3DRP, 3DRR, 3DRS, 3DYA, 3E01, 3FFI, 3I0R, 3I0S, 3KJV, 3KK1, 3KK2, 3KK3, 3KT2, 3KT5, 3LAK, 3LAL, 3LAM, 3LAN, 3LP0, 3LP1, 3LP2, 3M8P, 3M8Q, 3MEC, 3MED, 3MEE, 3MEG, 3MIM, 3N3I, 3NBP, 3PHV, 3QIN, 3QIO, 3QIP, 3T19, 3T1A, 3TAM, 4B3O, 4B3P, 4B3Q, 4I7F","Capsid protein p24 is the major capsid protein of HIV, which plays an active structural role both as part of the Gag polyprotein and in its processed form during virus assembly, maturation, and disassembly. It forms the conical core that encapsulates the genomic RNA-nucleocapsid complex inside the lipid bilayer of mature virions."
63,"L3,7,9 lipopolysaccharides (LPS)",NULL,Neisseria meningitidis:487,Organic molecules or materials,NULL,NULL,NULL
64,Integrin beta-5,NULL,Homo sapiens (Human):9606,Protein>Others,P18084,NULL,NULL
65,Ferritin,NULL,Schistosoma japonicum (Blood fluke):6182,Protein>Others,Q5DCX4,NULL,NULL
66,Tumor necrosis factor receptor superfamily member 6,"FASLG receptor
Apoptosis-mediating surface antigen FAS
Apo-1 antigen
CD_antigen=CD95",Homo sapiens (Human):9606,Protein>Receptor,P25445,"1DDF, 3EWT, 3EZQ, 3THM, 3TJE",NULL
67,GD2 ganglioside,NULL,Homo sapiens (Human):9606,Organic molecules or materials,NULL,NULL,NULL
68,Mycoplasma hyopneumoniae,NULL,Sus scrofa (pig):9823,Cell,NULL,NULL,NULL
69,Calpastatin,"Calpain inhibitor
Sperm BS-17 component",Homo sapiens (Human):9606,Protein>Others,P20810,NULL,NULL
70,Luteinizing hormone-releasing hormone I,"LH-RH I
Gonadoliberin I
Gonadotropin-releasing hormone I, GnRH-I
Luliberin I
Gonadorelin
Progonadoliberin-1
Progonadoliberin I",Homo sapiens (Human):9606,Protein>Others,P01148,NULL,NULL
71,Leptospira,NULL,Leptospira:171,Cell,NULL,NULL,NULL
72,ManLAM,Mannosylated lipoarabinomannan,Mycobacterium tuberculosis:1773,Organic molecules or materials,NULL,NULL,NULL
73,50S ribosomal protein L2,NULL,Staphylococcus aureus:1280,Protein>Others,A6QJ89,NULL,NULL
74,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial","Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex
Pyruvate dehydrogenase complex component E2, PDC-E2, PDCE2
70 kDa mitochondrial autoantigen of primary biliary cirrhosis, PBC
M2 antigen complex 70 kDa subunit
Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial
EC=2.3.1.12",Homo sapiens (Human):9606,Protein>Enzyme,P10515,"1FYC, 1Y8N, 1Y8O, 1Y8P, 2DNE, 2PNR, 2Q8I, 3B8K, 3CRK, 3CRL",NULL
75,Globotriaosylceramide (Gb3Cer),NULL,Unknown,Organic molecules or materials,NULL,NULL,NULL
76,"Intercellular adhesion molecule 1, ICAM-1","Major group rhinovirus receptor
CD_antigen=CD54",Homo sapiens (Human):9606,Protein>Receptor,P05362,"1D3E, 1D3I, 1D3L, 1IAM, 1IC1, 1MQ8, 1P53, 1Z7Z, 2OZ4, 3TCX",NULL
